time,Building 1,Building 2,Building 3,Building 4,Building 5,Building 6,Building 7,Building 8,Building 9,Building 10,Building 11,Building 12,Building 13,Building 14,Building 15,Building 16,Building 17,Building 18,Building 19,Building 20,Building 21,Building 22,Building 23,Building 24,Building 25,Building 26,Building 27,Building 28,Total,costData,Emissions,,GHI,Solar_Power,,,,Solar_Power_2,,"Solar Power (kW, 22 Panel)",
489,2.716051588,4.338305254,3.610324689,2.884025769,2.995084614,2.828409767,3.379428763,2.709521273,2.637355075,3.023067209,2.337088653,3.322907733,2.73421326,2.755729176,6.03816719,3.228345639,3.664430106,4.597689167,2.591623828,2.291403368,2.448038078,2.785031731,3.066493333,3.411339258,2.487015239,3.42420253,2.670761846,3.238707964,88.2147621,0.10388,0.595906,0.45066315,145,0.924578,1.791473588,1.791473588,0.186098276,0.24331,,1.070564,
490,2.674582962,3.078545954,3.276649188,2.568255391,2.568995186,2.365291081,2.625275413,2.141488512,2.518224364,2.97312069,2.409008321,2.779648049,2.871952587,3.602358889,3.875285345,2.625497296,2.491260184,3.406156396,2.003422962,1.852067235,2.339919922,2.737166881,2.70164921,3.090094339,4.034892077,2.596266774,2.902746197,3.08351508,78.19333648,0.10388,0.596549,0.319799354,126,0.8034264,1.871156562,1.871156562,0.194375744,0.211428,,0.9302832,
491,1.80710039,2.487553493,7.481210073,2.012646127,2.016739368,2.214170198,3.033417868,1.670552626,2.058023084,2.047226165,1.593138895,1.853007705,1.994769789,2.778340662,1.802614901,2.083139281,2.272210322,2.731174868,1.627268829,1.915265178,1.813964802,2.549341422,2.437262162,2.707017073,4.237039076,1.705560499,2.512559206,2.625175867,68.06748993,0.10388,0.593072,0.258407057,51,0.3251964,1.48190399,1.48190399,0.153940186,0.085578,,0.3765432,
492,1.85491557,2.842916483,6.645916258,2.49053682,2.041361175,2.218541059,2.229470492,1.531669553,2.044294597,1.553367973,1.121681256,1.698145216,1.83373728,1.756137777,1.642188324,1.87934439,2.670037661,2.512836096,1.536903883,2.292225743,1.664238751,2.078108069,1.874922518,2.051530721,4.110570977,2.018927282,2.206938611,2.194650109,62.59611465,0.10388,0.583282,0.295322164,111,0.7077804,1.14713517,1.14713517,0.119164401,0.186258,,0.8195352,
493,2.836482035,3.088774627,2.803126379,2.26761022,1.698596459,2.1627794,1.748342869,1.976374529,2.34141081,1.619775211,1.572871755,2.171272359,2.580960708,2.024583215,1.647303584,2.43600104,2.31449442,2.15408148,1.570197218,1.981564565,2.133956197,2.241427914,1.885339442,2.120802058,2.07852034,2.57411142,1.86045723,2.144762697,60.03598018,0.10388,0.619266,0.320861908,195,1.243398,1.593084035,1.593084035,0.16548957,0.32721,,1.439724,
494,2.870528038,2.940491894,2.702624049,2.387957879,1.646666838,2.525870899,1.672204165,2.119821928,2.285313048,1.66334564,2.119217222,2.34507737,1.532560659,2.078955022,1.908431693,2.790796137,1.875584722,2.531706474,1.568924523,1.876706392,2.153336311,1.795859059,1.824205728,2.559047634,2.343192034,2.173569632,1.729007027,2.291751308,60.31275333,0.10388,0.616772,0.305458298,310,1.976684,0.893844038,0.893844038,0.092852519,0.52018,,2.288792,
495,2.089630359,4.081906234,2.295634491,2.557999914,1.751100108,2.690583251,2.186392377,1.817401524,2.615995622,2.189052175,1.755766446,1.903142647,1.536469076,2.11971399,2.03823234,2.635756056,1.922236966,3.130820974,1.917410006,2.175151652,1.797980377,1.899589768,2.228700309,3.181363163,1.992763411,2.766782362,3.106448605,1.817303707,64.20132791,0.10388,0.562,0.42402842,210,1.339044,0.750586359,0.750586359,0.077970911,0.35238,,1.550472,
496,1.93873157,3.51391017,1.910022024,2.034062917,2.226742606,2.261460043,2.671109931,2.420216582,2.314668232,2.795624364,1.296389364,1.625468219,1.574579115,2.299886941,1.666462156,2.151076575,2.319719711,2.823668574,1.956035195,2.031081183,2.141916852,1.847835072,2.7265894,3.139958942,2.04703297,2.214396566,2.872801999,2.06751731,62.88896459,0.10388,0.557502,0.365024988,98,0.6248872,1.31384437,1.31384437,0.136482153,0.164444,,0.7235536,
497,2.367656004,2.651181339,3.157976968,2.684590915,3.068309851,2.904017605,2.566389678,4.714479761,2.165110893,3.111346161,1.505939013,1.967296514,2.523154302,3.17045529,1.903224718,3.032833812,3.386554419,2.81292176,1.91210883,2.375785057,2.000129262,2.218273104,2.922865074,3.133743914,2.831391999,2.676312793,2.322226599,2.496261158,74.58253679,0.10388,0.566461,0.275404717,34,0.2167976,2.150858404,2.150858404,0.223431171,0.057052,,0.2510288,
498,3.514149996,3.668615466,3.075061169,3.342489867,2.983941001,3.351905209,2.440781851,2.469397471,2.883453124,4.019812771,1.716415641,2.379342156,6.90895619,3.252612363,2.541319963,4.188634301,3.600361126,3.383713682,2.443411368,2.217804509,2.82692064,2.454462439,2.678508064,3.288061888,3.197793379,2.916140934,2.557072502,2.269273291,86.57041236,0.10388,0.570014,0.381095775,0,0,3.514149996,3.514149996,0.365049902,0,,0,
